Advertiser,Date,Device,Type,First Seen,Last Seen,Link to Creative,Spend,Impressions
"Window World, Inc.",4/1/2025,Desktop Display,Image,4/1/2025,5/27/2025,https://s3.amazonaws.com/YM_Ads/EI-8Trv8kZikjNZdohU_Wg.jpg,9341.9302,584076
"Window World, Inc.",4/1/2025,OTT,Video,3/31/2025,4/9/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/c972770814dc6f77/media,4200.0469,125436
"Window World, Inc.",4/1/2025,Mobile Display,Image,4/1/2025,5/27/2025,https://s3.amazonaws.com/YM_Ads/EI-8Trv8kZikjNZdohU_Wg.jpg,125.6113,30330
"Window World, Inc.",4/1/2025,OTT,Video,1/27/2024,4/16/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/076f6c1cfe5659b4/media,5210.0752,218408
"Window World, Inc.",4/1/2025,YouTube,Video,2/18/2023,5/21/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/1b9de9129352f4d3/media,632.7,81866
"Window World, Inc.",4/1/2025,Instagram,Story Post,8/18/2024,4/26/2025,,399.4629,52611
"Window World, Inc.",4/1/2025,Mobile Display,Image,4/1/2025,5/27/2025,https://s3.amazonaws.com/YM_Ads/qVaVEhtv0yooWlYI-2ZjRw.jpg,1426.0786,174470
"Window World, Inc.",4/1/2025,OTT,Video,3/18/2025,4/10/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/f4c6b75fced37746/media,1784.7891,57014
WindowWorks,4/1/2025,OTT,Video,3/8/2025,5/25/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/dc1b790f8bbd84e0/media,78316.0022,3255672
WindowWorks,4/1/2025,YouTube,Video,4/1/2025,5/14/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/dc1b790f8bbd84e0/media,726.9393,94061
WindowWorks,4/1/2025,OTT,Video,3/5/2025,5/19/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/aaf3d9b99f365a46/media,16031.4927,672044
WindowWorks,4/1/2025,YouTube,Video,4/1/2025,5/14/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/aaf3d9b99f365a46/media,244.9258,31692
Andersen Corporation,5/1/2025,OTT,Video,5/18/2025,5/21/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/0317596f4d437258/media,38556.2412,1490921
Andersen Corporation,5/1/2025,Facebook,Video Post,5/15/2025,5/27/2025,https://s3.amazonaws.com/YM_Ads/-3397370620358844151.png,266391.0393,39980081
Andersen Corporation,5/1/2025,Facebook,Photo Post,4/20/2025,5/29/2025,https://s3.amazonaws.com/YM_Ads/-1054322204344720824.png,567.1611,85120
Andersen Corporation,5/1/2025,Instagram,Story Post,2/21/2025,5/21/2025,,123.5151,16268
Andersen Corporation,5/1/2025,YouTube,Video,1/11/2023,5/23/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/5f40f91de5a1fe6e/media,154.2008,99761
Andersen Corporation,5/1/2025,Desktop Display,HTML5,1/10/2024,5/31/2025,https://s3.amazonaws.com/YM_Ads/MAFBwpYFs0_dkfX2SKVUJw.png,2062.0897,593306
Andersen Corporation,5/1/2025,YouTube,Video,5/13/2025,5/13/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/4208b1249b39f8aa/media,24.5075,15855
Andersen Corporation,5/1/2025,OTT,Video,4/16/2025,5/24/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/02c44d10f5c8ea5d/media,21305.5714,711493
Andersen Corporation,5/1/2025,Instagram,Photo Post,1/4/2024,6/1/2025,https://s3.amazonaws.com/YM_Ads/-7696615787085246910.png,245.8387,32378
Andersen Corporation,5/1/2025,Desktop Display,HTML5,5/21/2025,5/25/2025,https://s3.amazonaws.com/YM_Ads/7bdV_CKjgU7GPL5lSNMLzw.png,54.127,5725
Andersen Corporation,5/1/2025,Instagram,Reel Post,3/25/2025,5/21/2025,https://s3.amazonaws.com/YM_Ads/-7147667859954603655.png,862.4167,113586
Andersen Corporation,5/1/2025,OTT,Video,5/17/2025,5/30/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/2c01aa2fc7567724/media,46178.9478,1664112
Andersen Corporation,5/1/2025,Facebook,Link Post,7/31/2024,5/31/2025,https://s3.amazonaws.com/YM_Ads/-4010716692669508989.png,1130.2532,169630
Andersen Corporation,5/1/2025,Instagram,Reel Post,1/24/2024,6/1/2025,,393.2174,51788
Andersen Corporation,5/1/2025,OTT,Video,8/4/2023,5/16/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/6c96fa99c1968b9e/media,5999.2676,251490
Andersen Corporation,5/1/2025,Desktop Display,HTML5,5/10/2025,5/25/2025,https://s3.amazonaws.com/YM_Ads/7ETwl_yXKktGPveqhbMH8w.png,89.9692,9518
Andersen Corporation,5/1/2025,Desktop Display,HTML5,5/4/2025,5/28/2025,https://s3.amazonaws.com/YM_Ads/UCIE8G0VOm21xlTmeHMKKQ.png,106.732,11293
Andersen Corporation,5/1/2025,Facebook,Photo Post,12/24/2024,5/30/2025,https://s3.amazonaws.com/YM_Ads/2162815555848018005.png,7753.9333,1163713
Andersen Corporation,5/1/2025,Desktop Display,HTML5,6/21/2024,5/12/2025,https://s3.amazonaws.com/YM_Ads/koUPDlZm9IAyfq7GJZ1cIQ.png,489.0041,224969
Andersen Corporation,5/1/2025,YouTube,Video,5/15/2025,5/15/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/1af9453a5113a5d9/media,124.4882,16108
Andersen Corporation,5/1/2025,YouTube,Video,4/1/2025,5/1/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/7da5dbd869b89335/media,76.1917,49293
Andersen Corporation,5/1/2025,YouTube,Video,4/5/2025,5/1/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/f94c19c96d69dc7b/media,25.3972,16431
Andersen Corporation,5/1/2025,Facebook,Photo Post,2/9/2025,5/31/2025,https://s3.amazonaws.com/YM_Ads/-3771937274229214438.png,9574.7567,1436988
Andersen Corporation,5/1/2025,Instagram,Story Post,5/1/2025,5/31/2025,,525.5665,69221
Andersen Corporation,5/1/2025,Desktop Video,Video,5/29/2025,5/29/2025,https://s3.amazonaws.com/YM_Ads/3j2ya3zh.mp4,853.1806,80301
